,SRResNet,SRGAN-VGG22-A,SRGAN-VGG22-B,SRGAN-VGG54-A,SRGAN-VGG54-B,SRGAN-Xception-A,SRGAN-Xception-B,SRGAN-ResNet152V2-A,SRGAN-ResNet152V2-B,SRGAN-InceptionV3-A,SRGAN-InceptionV3-B,SRGAN-InceptionResNetV2-A,SRGAN-InceptionResNetV2-B,SRGAN-MobileNetV2-A,SRGAN-MobileNetV2-B,SRGAN-DenseNet201-A,SRGAN-DenseNet201-B,SRGAN-NASNetLarge-A,SRGAN-NASNetLarge-B,SRGAN-EfficientNetV2L-A,SRGAN-EfficientNetV2L-B
NWPU-RESISC45,24.01698267,23.49328972,23.04977341,22.60240965,22.84813356,22.83258858,23.12606804,23.10085499,22.90267499,23.17347567,23.27200493,23.30451732,23.39098294,21.78452233,22.41608497,23.58496348,23.46598423,23.05990787,23.02686718,22.34285427,22.53702017
Set5,22.92709729,23.20232616,21.53465502,21.15867685,22.17587848,21.21166409,21.28395406,21.04849148,22.09173107,21.44583352,21.52440082,21.88277315,22.24528009,21.08368593,20.61076707,21.23221522,21.62907,20.82933654,20.86077465,18.34391675,19.64714065
Set14,21.64800947,21.86280371,20.83574047,21.08800741,21.75984152,20.90811321,21.00604196,21.00699857,21.8309256,21.25388063,21.29319431,21.07909838,21.6065458,20.58121556,20.38898798,21.67087999,21.78881868,20.6679965,20.96187622,19.30080662,20.00809338
